The Billnert et al. (2013) paper
! LaBr3 (Q489)		
! Energy (MeV)	Counts/(MeV fission)	Uncertainty
0.118	7.98E+00	0.284787068
0.124	9.05E+00	0.298310109
0.13	9.51E+00	0.218882788
0.136	8.10E+00	0.194684991
0.143	1.01E+01	0.248060621
0.15	9.64E+00	0.232601906
0.157	1.22E+01	0.291761725
0.164	1.32E+01	0.313551356
0.171	9.95E+00	0.246220601
0.179	9.60E+00	0.256041095
0.187	1.00E+01	0.249594509
0.195	1.15E+01	0.287487862
0.203	1.05E+01	0.305185402
0.212	1.14E+01	0.319492664
0.221	9.89E+00	0.314942211
0.23	8.50E+00	0.272581115
0.239	1.24E+01	0.410330421
0.249	1.15E+01	0.376952765
0.259	7.34E+00	0.229437047
0.269	6.71E+00	0.217051045
0.279	6.54E+00	0.171580664
0.29	8.17E+00	0.234884248
0.301	8.10E+00	0.282755627
0.312	7.02E+00	0.240038752
0.323	8.67E+00	0.312918508
0.335	1.16E+01	0.392871412
0.347	1.10E+01	0.400030994
0.359	1.17E+01	0.448397394
0.372	1.22E+01	0.408950569
0.384	9.43E+00	0.351189888
0.397	9.34E+00	0.390660102
0.41	8.48E+00	0.343553856
0.424	9.84E+00	0.409847032
0.438	8.19E+00	0.346434676
0.452	8.09E+00	0.331796082
0.466	8.68E+00	0.324177021
0.481	1.19E+01	0.516256088
0.495	9.19E+00	0.371045551
0.51	8.73E+00	0.342325558
0.526	8.30E+00	0.344112202
0.542	8.19E+00	0.34465649
0.557	7.81E+00	0.320884186
0.574	1.02E+01	0.420736759
0.59	9.13E+00	0.388344778
0.607	7.74E+00	0.326093869
0.624	7.96E+00	0.351684268
0.641	6.88E+00	0.319355769
0.659	6.11E+00	0.270169187
0.677	6.12E+00	0.281264547
0.695	6.39E+00	0.283406029
0.713	5.95E+00	0.284201312
0.732	5.51E+00	0.255619564
0.751	4.37E+00	0.213480446
0.77	4.35E+00	0.195059894
0.79	3.67E+00	0.15167412
0.81	3.71E+00	0.143363972
0.83	3.64E+00	0.13296415
0.85	3.45E+00	0.113209728
0.871	2.85E+00	0.111125563
0.892	2.63E+00	0.111970199
0.913	2.77E+00	0.117894577
0.934	2.65E+00	0.11519642
0.956	2.49E+00	0.112657518
0.978	2.42E+00	0.102369139
1.001	2.23E+00	0.101500761
1.023	2.05E+00	0.098320309
1.046	1.87E+00	0.094638286
1.07	1.89E+00	0.104230636
1.093	1.86E+00	0.099545518
1.117	1.84E+00	0.089997072
1.141	1.80E+00	0.090586449
1.166	1.86E+00	0.091467628
1.19	1.75E+00	0.088528456
1.215	1.63E+00	0.088978794
1.241	1.80E+00	0.100780708
1.266	1.45E+00	0.072966604
1.292	1.41E+00	0.062150486
1.318	1.33E+00	0.083943295
1.345	1.34E+00	0.103123031
1.371	1.14E+00	0.098441208
1.398	1.12E+00	0.091521814
1.426	1.10E+00	0.050237929
1.453	1.12E+00	0.037939613
1.481	1.12E+00	0.036515222
1.509	1.10E+00	0.073934461
1.538	1.08E+00	0.10676322
1.567	1.04E+00	0.118245186
1.596	1.05E+00	0.096582986
1.625	9.69E-01	0.099723169
1.655	9.75E-01	0.102896302
1.685	9.38E-01	0.097959485
1.715	9.75E-01	0.103478524
1.746	9.89E-01	0.102457488
1.776	9.07E-01	0.084478504
1.808	9.16E-01	0.081968529
1.839	8.68E-01	0.093840759
1.871	8.47E-01	0.094031211
1.903	8.27E-01	0.084737554
1.935	7.89E-01	0.077355157
1.968	7.71E-01	0.077009374
2.001	7.53E-01	0.067795238
2.034	7.12E-01	0.062642198
2.068	7.11E-01	0.053087474
2.101	6.50E-01	0.048221526
2.136	6.57E-01	0.05779925
2.17	6.18E-01	0.053770342
2.205	6.00E-01	0.054024596
2.24	5.90E-01	0.052987139
2.275	5.61E-01	0.050308541
2.311	5.42E-01	0.045985547
2.347	5.24E-01	0.044598192
2.383	5.10E-01	0.046400256
2.419	4.84E-01	0.042852365
2.456	4.63E-01	0.041614575
2.493	4.34E-01	0.048442779
2.531	4.26E-01	0.04886441
2.569	4.13E-01	0.046519447
2.607	4.03E-01	0.043812737
2.645	3.76E-01	0.041949445
2.684	3.61E-01	0.035535557
2.723	3.52E-01	0.032425839
2.762	3.42E-01	0.039842432
2.801	3.21E-01	0.045999111
2.841	3.11E-01	0.068686522
2.881	2.92E-01	0.058227895
2.922	2.81E-01	0.060854848
2.963	2.72E-01	0.046580359
3.004	2.43E-01	0.049402476
3.048	2.25E-01	0.052297441
3.093	2.17E-01	0.046109394
3.138	2.10E-01	0.042018361
3.183	1.96E-01	0.039981508
3.229	1.89E-01	0.04518391
3.275	1.78E-01	0.041658567
3.322	1.72E-01	0.042443402
3.369	1.64E-01	0.039398259
3.416	1.55E-01	0.04073011
3.463	1.46E-01	0.041124689
3.511	1.36E-01	0.033651865
3.559	1.30E-01	0.041587207
3.607	1.23E-01	0.029552123
3.656	1.18E-01	0.031997661
3.705	1.11E-01	0.028321883
3.754	1.05E-01	0.027705031
3.804	9.76E-02	0.031337174
3.854	9.42E-02	0.02669195
3.904	8.75E-02	0.020205547
3.955	8.38E-02	0.018566219
4.006	7.20E-02	0.025814494
4.057	6.67E-02	0.020562489
4.109	6.39E-02	0.01819037
4.161	6.09E-02	0.017392709
4.213	5.67E-02	0.01684147
4.266	5.29E-02	0.017143221
4.319	5.00E-02	0.018054686
4.372	4.56E-02	0.015586121
4.426	4.34E-02	0.013507205
4.48	4.15E-02	0.011560176
4.534	3.93E-02	0.013496343
4.588	3.65E-02	0.015211216
4.643	3.39E-02	0.008570244
4.699	3.28E-02	0.011990417
4.754	3.04E-02	0.009618982
4.81	2.87E-02	0.008466017
4.866	2.65E-02	0.007625414
4.923	2.52E-02	0.008851847
4.98	2.35E-02	0.009984368
5.037	2.25E-02	0.007297768
5.094	2.10E-02	0.007465363
5.152	1.97E-02	0.006709861
5.21	1.84E-02	0.009504694
5.269	1.75E-02	0.00756766
5.328	1.64E-02	0.005751163
5.387	1.52E-02	0.005869672
5.446	1.40E-02	0.004831959
5.506	1.30E-02	0.005107614
5.566	1.22E-02	0.006515065
5.627	1.16E-02	0.005654544
5.687	1.07E-02	0.005765732
5.748	9.93E-03	0.003807789
5.81	9.45E-03	0.004749485
5.871	8.75E-03	0.005513278
5.934	8.31E-03	0.003270877
5.996	7.69E-03	0.003417662
6.059	7.30E-03	0.003614099
6.122	6.87E-03	0.003190527
6.185	6.71E-03	0.004633525
6.249	6.73E-03	0.004372327
6.313	6.49E-03	0.004004244
6.377	6.39E-03	0.003950659
6.442	5.98E-03	0.003948502
6.507	5.94E-03	0.004396143
6.572	5.51E-03	0.004526402
6.638	5.45E-03	0.005292927
6.704	6.14E-03	0.00734111
6.77	7.29E-03	0.010595754
6.837	6.97E-03	0.012191283
6.904	7.68E-03	0.018290396
6.971	7.42E-03	0.026930453
7.038	7.04E-03	0.05137205
7.106	5.92E-03	1.374091768
7.175	5.01E-03	0.041417085
