LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)
0.10000	4.5304	0.44612
0.10200	3.4681	0.34150
0.10500	4.2030	0.41386
0.10700	4.2089	0.41444
0.11000	4.3750	0.43081
0.11200	4.8616	0.47872
0.11500	4.7964	0.47231
0.11800	5.6894	0.56024
0.12100	6.4449	0.63464
0.12400	6.7402	0.66371
0.12700	7.5145	0.73996
0.13000	7.7781	0.76592
0.13300	8.1795	0.80545
0.13600	8.3346	0.82072
0.14000	9.1196	0.89803
0.14300	9.1413	0.90016
0.14700	9.3036	0.91615
0.15000	9.8157	0.96658
0.15400	10.336	1.0178
0.15700	11.068	1.0899
0.16100	11.503	1.1327
0.16400	11.526	1.1350
0.16800	11.378	1.1204
0.17100	11.493	1.1317
0.17500	10.316	1.0159
0.17900	10.106	0.99523
0.18300	9.8309	0.96809
0.18700	10.486	1.0326
0.19100	10.683	1.0520
0.19500	10.865	1.0700
0.19900	10.915	1.0749
0.20300	10.938	1.0771
0.20800	10.675	1.0513
0.21200	10.447	1.0288
0.21700	10.348	1.0190
0.22100	9.9860	0.98340
0.22600	8.7476	0.86145
0.23000	8.6326	0.85012
0.23500	10.070	0.99166
0.23900	10.300	1.0143
0.24400	11.222	1.1051
0.24900	10.006	0.98536
0.25400	8.9422	0.88064
0.25900	7.4832	0.73695
0.26400	6.6608	0.65596
0.26900	6.5849	0.64849
0.27400	6.6045	0.65042
0.27900	6.9712	0.68655
0.28500	7.8511	0.77321
0.29000	7.9247	0.78046
0.29600	8.0563	0.79342
0.30100	7.8689	0.77497
0.30700	7.1447	0.70365
0.31200	7.0771	0.69699
0.31800	7.8942	0.77747
0.32300	8.2275	0.81030
0.32900	9.4317	0.92892
0.33500	9.9369	0.97868
0.34100	10.046	0.98943
0.34700	10.090	0.99375
0.35300	10.345	1.0189
0.35900	11.078	1.0911
0.36600	10.357	1.0201
0.37200	10.241	1.0087
0.37800	9.8937	0.97447
0.38400	9.0948	0.89580
0.39100	8.9155	0.87815
0.39700	9.1651	0.90273
0.40400	8.8056	0.86733
0.41000	9.2248	0.90863
0.41700	9.0367	0.89012
0.42400	9.6488	0.95042
0.43100	9.1859	0.90483
0.43800	8.4452	0.83188
0.44500	8.2441	0.81208
0.45200	8.3294	0.82049
0.45900	8.4640	0.83376
0.46600	9.8417	0.96949
0.47400	10.456	1.0301
0.48100	11.273	1.1105
0.48800	10.193	1.0041
0.49500	10.653	1.0495
0.50300	9.9060	0.97586
0.51000	9.2336	0.90961
0.51800	8.4171	0.82921
0.52600	8.5330	0.84067
0.53400	7.6388	0.75259
0.54200	7.5979	0.74857
0.55000	8.1771	0.80563
0.55700	8.9433	0.88114
0.56600	9.2344	0.90985
0.57400	9.8985	0.97530
0.58200	9.9813	0.98348
0.59000	9.4072	0.92693
0.59900	9.0373	0.89051
0.60700	8.1612	0.80420
0.61600	7.9330	0.78174
0.62400	7.9080	0.77928
0.63300	8.0845	0.79670
0.64100	7.8690	0.77549
0.65000	6.9045	0.68046
0.65900	6.8083	0.67101
0.66800	6.6691	0.65731
0.67700	6.8905	0.67915
0.68600	6.9778	0.68778
0.69500	6.2443	0.61550
0.70400	6.2204	0.61317
0.71300	5.8318	0.57489
0.72300	5.6269	0.55473
0.73200	5.3371	0.52618
0.74200	5.0667	0.49955
0.75100	4.7147	0.46487
0.76100	4.6819	0.46167
0.77000	4.6075	0.45435
0.78000	4.2883	0.42291
0.79000	4.1146	0.40581
0.80000	4.0747	0.40190
0.81000	4.0594	0.40042
0.82000	3.9605	0.39070
0.83000	3.9635	0.39104
0.84000	3.9243	0.38720
0.85000	3.1770	0.31350
0.86100	3.0842	0.30437
0.87100	2.9445	0.29062
0.88200	2.9730	0.29347
0.89200	2.8816	0.28449
0.90300	2.8255	0.27899
0.91300	2.8105	0.27754
0.92400	2.8493	0.28142
0.93400	2.7380	0.27047
0.94500	2.6998	0.26674
0.95600	2.7487	0.27162
0.96700	2.5928	0.25627
0.97800	2.4334	0.24058
0.99000	2.3850	0.23584
1.0010	2.3271	0.30594
1.0120	1.8711	0.24602
1.0230	1.8463	0.24280
1.0350	1.7775	0.23379
1.0460	1.7621	0.23180
1.0580	1.7121	0.22528
1.0700	1.6710	0.21991
1.0820	1.7407	0.22913
1.0930	1.7369	0.22869
1.1050	1.6995	0.22382
1.1170	1.7237	0.22707
1.1290	1.7012	0.22417
1.1410	1.6290	0.21471
1.1540	1.6218	0.21385
1.1660	1.6503	0.21767
1.1780	1.6485	0.21752
1.1900	1.6048	0.21183
1.2030	1.5865	0.20951
1.2150	1.5621	0.20637
1.2280	1.4795	0.19556
1.2410	1.4713	0.19458
1.2540	1.4768	0.19541
1.2660	1.4433	0.19108
1.2790	1.3906	0.18423
1.2920	1.4027	0.18595
1.3050	1.3924	0.18472
1.3180	1.3127	0.17426
1.3320	1.2728	0.16911
1.3450	1.3004	0.17292
1.3580	1.2427	0.16540
1.3710	1.2262	0.16336
1.3850	1.2442	0.16594
1.3980	1.2000	0.16022
1.4120	1.1595	0.15500
1.4260	1.1558	0.15470	
1.4400	1.2056	0.16159
1.4530	1.1688	0.15687
1.4670	1.1633	0.15637
1.4810	1.1416	0.15371
1.4950	1.1057	0.14913
1.5090	1.0874	0.14694
