Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty
0.10000	4.5757	0.53171
0.10200	3.5184	0.40883
0.10500	4.2276	0.49124
0.10700	4.2314	0.49169
0.11000	4.3483	0.50527
0.11200	3.9615	0.46032
0.11500	4.7927	0.55692
0.11800	5.2428	0.60922
0.12100	5.9611	0.69269
0.12400	6.2530	0.72661
0.12700	7.5489	0.87719
0.13000	7.8622	0.91360
0.13300	7.7176	0.89680
0.13600	8.2350	0.95693
0.14000	9.0471	1.0513
0.14300	9.0430	1.0508
0.14700	9.4015	1.0925
0.15000	9.3856	1.0906
0.15400	10.453	1.2147
0.15700	10.655	1.2381
0.16100	11.924	1.3856
0.16400	12.048	1.4000
0.16800	12.109	1.4071
0.17100	11.492	1.3355
0.17500	10.567	1.2279
0.17900	10.061	1.1692
0.18300	10.100	1.1737
0.18700	10.272	1.1937
0.19100	11.028	1.2815
0.19500	11.229	1.3049
0.19900	11.241	1.3063
0.20300	10.673	1.2402
0.20800	10.872	1.2634
0.21200	10.639	1.2363
0.21700	10.496	1.2197
0.22100	8.9358	1.0384
0.22600	7.6786	0.89231
0.23000	8.5146	0.98947
0.23500	8.8848	1.0325
0.23900	10.199	1.1852
0.24400	10.654	1.2381
0.24900	10.340	1.2016
0.25400	7.4604	0.86698
0.25900	6.5337	0.75928
0.26400	6.2722	0.72890
0.26900	6.1921	0.71958
0.27400	6.2306	0.72406
0.27900	6.6691	0.77503
0.28500	7.1849	0.83498
0.29000	8.1081	0.94227
0.29600	8.2650	0.96051
0.30100	7.2962	0.84792
0.30700	7.1409	0.82988
0.31200	7.0448	0.81871
0.31800	7.3358	0.85253
0.32300	8.5165	0.98975
0.32900	9.8526	1.1450
0.33500	10.392	1.2078
0.34100	10.420	1.2110
0.34700	10.548	1.2259
0.35300	10.783	1.2531
0.35900	11.142	1.2950
0.36600	11.348	1.3189
0.37200	10.691	1.2425
0.37800	10.389	1.2074
0.38400	9.5210	1.1066
0.39100	9.2630	1.0766
0.39700	9.1181	1.0597
0.40400	8.7732	1.0197
0.41000	9.1346	1.0617
0.41700	8.8163	1.0247
0.42400	9.3827	1.0905
0.43100	8.8509	1.0287
0.43800	8.4616	0.98349
0.44500	8.3147	0.96642
0.45200	8.2768	0.96203
0.45900	7.4944	0.87109
0.46600	8.8010	1.0230
0.47400	9.3986	1.0924
0.48100	10.069	1.1704
0.48800	9.1055	1.0584
0.49500	9.5394	1.1088
0.50300	9.6869	1.1260
0.51000	9.0484	1.0517
0.51800	8.4394	0.98098
0.52600	8.5350	0.99213
0.53400	7.8680	0.91461
0.54200	7.5939	0.88275
0.55000	8.3181	0.96695
0.55700	9.0202	1.0486
0.56600	9.5741	1.1130
0.57400	9.6971	1.1273
0.58200	9.7874	1.1378
0.59000	9.2107	1.0708
0.59900	8.4904	0.98708
0.60700	7.4059	0.86100
0.61600	7.1901	0.83594
0.62400	7.4087	0.86136
0.63300	7.1404	0.83019
0.64100	6.9264	0.80533
0.65000	6.3801	0.74183
0.65900	6.1388	0.71378
0.66800	6.0586	0.70448
0.67700	6.0745	0.70634
0.68600	6.0086	0.69870
0.69500	6.2816	0.73046
0.70400	6.2414	0.72581
0.71300	5.8072	0.67534
0.72300	5.6938	0.66217
0.73200	5.2272	0.60793
0.74200	4.9901	0.58039
0.75100	4.8781	0.56738
0.76100	4.7595	0.55361
0.77000	4.6490	0.54078
0.78000	4.4237	0.51459
0.79000	4.3547	0.50659
0.80000	4.0544	0.47169
0.81000	3.9561	0.46028
0.82000	3.8640	0.44959
0.83000	3.9994	0.46537
0.84000	3.9917	0.46451
0.85000	3.5355	0.41146
0.86100	3.2394	0.37702
0.87100	2.9855	0.34749
0.88200	3.0010	0.34933
0.89200	2.8658	0.33363
0.90300	2.9653	0.34525
0.91300	2.8047	0.32658
0.92400	2.8179	0.32816
0.93400	2.7316	0.31814
0.94500	2.6680	0.31078
0.95600	2.6304	0.30643
0.96700	2.5883	0.30158
0.97800	2.4136	0.28126
0.99000	2.4120	0.28112
1.0010	2.4421	0.35465
1.0120	2.4016	0.34880
1.0230	2.2076	0.32068
1.0350	2.2187	0.32233
1.0460	2.2049	0.32037
1.0580	2.0645	0.30002
1.0700	2.0363	0.29598
1.0820	2.1328	0.31006
1.0930	2.0837	0.30297
1.1050	2.1495	0.31261
1.1170	2.1685	0.31544
1.1290	2.1357	0.31075
1.1410	2.0536	0.29886
