Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
0.10100	6.2637	0.71573
0.10400	6.6619	0.76123
0.10800	7.1931	0.82193
0.11100	7.2850	0.83243
0.11500	6.7812	0.77486
0.11900	5.6983	0.65112
0.12200	6.4282	0.73452
0.12600	7.5927	0.86759
0.13000	8.2749	0.94555
0.13400	8.6608	0.98964
0.13800	8.8738	1.0140
0.14200	9.0850	1.0381
0.14500	8.9723	1.0252
0.14900	9.5380	1.0899
0.15300	9.5614	1.0926
0.15800	10.284	1.1751
0.16200	10.951	1.2514
0.16600	10.988	1.2556
0.17000	11.543	1.3190
0.17400	10.385	1.1866
0.17900	10.297	1.1766
0.18300	9.0009	1.0285
0.18700	9.5433	1.0905
0.19200	9.9525	1.1373
0.19600	9.1987	1.0511
0.20000	10.520	1.2021
0.20500	10.978	1.2545
0.21000	10.180	1.1633
0.21400	10.274	1.1740
0.21900	10.143	1.1591
0.22300	9.8078	1.1207
0.22800	8.7446	0.99924
0.23300	8.6855	0.99249
0.23800	8.8789	1.0146
0.24300	9.9961	1.1422
0.24700	10.770	1.2307
0.25200	9.7148	1.1101
0.25700	9.4584	1.0808
0.26200	8.5319	0.97493
0.26700	7.9107	0.90395
0.27200	7.5077	0.85790
0.27700	7.5057	0.85767
0.28200	7.6748	0.87699
0.28800	8.0607	0.92110
0.29300	7.7163	0.88174
0.29800	8.6730	0.99106
0.30300	7.9938	0.91345
0.30900	7.9578	0.90934
0.31400	6.6894	0.76440
0.31900	7.6972	0.87956
0.32500	8.2796	0.94612
0.33000	9.0069	1.0292
0.33600	10.059	1.1494
0.34100	10.307	1.1777
0.34700	10.664	1.2186
0.35300	10.695	1.2222
0.35800	10.690	1.2216
0.36400	10.962	1.2526
0.37000	11.057	1.2635
0.37600	10.683	1.2207
0.38100	10.269	1.1734
0.38700	9.4216	1.0766
0.39300	9.1943	1.0507
0.39900	8.8648	1.0130
0.40500	8.7260	0.99715
0.41100	8.6624	0.98989
0.41700	8.7760	1.0029
0.42300	9.4055	1.0748
0.42900	9.4607	1.0811
0.43500	9.5362	1.0898
0.44200	9.3886	1.0729
0.44800	8.5231	0.97399
0.45400	7.9867	0.91269
0.46000	9.0013	1.0286
0.46700	9.5927	1.0962
0.47300	9.7832	1.1180
0.47900	10.457	1.1951
0.48600	10.433	1.1923
0.49200	10.347	1.1825
0.49900	10.650	1.2171
0.50500	10.406	1.1892
0.51200	9.8834	1.1295
0.51900	9.0345	1.0325
0.52500	9.2341	1.0553
0.53200	8.4825	0.96940
0.53900	7.6278	0.87172
0.54500	8.4653	0.96745
0.55200	8.4366	0.96417
0.55900	8.7588	1.0010
0.56600	9.2963	1.0624
0.57300	9.5469	1.0911
0.58000	9.5891	1.0959
0.58700	9.5752	1.0943
0.59400	9.4390	1.0788
0.60100	8.8714	1.0139
0.60800	8.4699	0.96805
0.61500	8.0799	0.92348
0.62200	7.8701	0.89952
0.62900	7.2662	0.83051
0.63700	7.4154	0.84757
0.64400	7.3418	0.83917
0.65100	6.6788	0.76340
0.65900	6.4888	0.74169
0.66600	6.5093	0.74404
0.67300	6.3201	0.72243
0.68100	6.3119	0.72150
0.68800	6.2365	0.71290
0.69600	6.2587	0.71545
0.70300	6.4175	0.73362
0.71100	5.8082	0.66398
0.71900	5.9301	0.67794
0.72600	5.7678	0.65939
0.73400	5.1504	0.58883
0.74200	5.2562	0.60094
0.74900	5.0124	0.57308
0.75700	4.5985	0.52577
0.76500	4.5307	0.51803
0.77300	4.4612	0.51011
0.78100	4.3727	0.50001
0.78900	4.1361	0.47298
0.79700	3.9882	0.45608
0.80500	3.7487	0.42870
0.81300	3.6788	0.42072
0.82100	3.6398	0.41629
0.82900	3.6568	0.41825
0.83700	3.3123	0.37887
0.84600	3.2358	0.37014
0.85400	3.1824	0.36405
0.86200	3.0473	0.34861
0.87000	2.8247	0.32317
0.87900	2.7750	0.31750
0.88700	2.8303	0.32386
0.89500	2.6813	0.30683
0.90400	2.6484	0.30309
0.91200	2.6602	0.30447
0.92100	2.6422	0.30243
0.92900	2.6252	0.30050
0.93800	2.5314	0.28981
0.94700	2.6315	0.30130
0.95500	2.4724	0.28310
0.96400	2.3150	0.26512
0.97300	2.3662	0.27100
0.98100	2.2986	0.26329
0.99000	2.1652	0.24805
0.99900	2.1480	0.24611
1.0080	2.0968	0.24028
1.0170	2.0815	0.23857
1.0260	2.0595	0.23608
1.0350	2.0232	0.23196
1.0440	1.9824	0.22732
1.0530	1.9068	0.21869
1.0620	1.8900	0.21680
1.0710	1.8775	0.21542
1.0800	1.8669	0.21425
1.0890	1.9713	0.22628
1.0980	1.9119	0.21952
1.1080	1.9509	0.22405
1.1170	2.0541	0.23596
1.1260	1.9267	0.22139
1.1360	1.9140	0.22000
1.1450	1.9930	0.22915
1.1540	1.8975	0.21824
1.1640	1.9197	0.22087
1.1730	1.9276	0.22186
1.1830	1.9158	0.22059
1.1920	1.8789	0.21641
1.2020	1.8285	0.21071
1.2120	1.8001	0.20752
1.2210	1.8570	0.21418
1.2310	1.7602	0.20312
1.2410	1.8086	0.20881
1.2500	1.6313	0.18844
1.2600	1.5412	0.17813
1.2700	1.5416	0.17828
1.2800	1.5416	0.17839
1.2900	1.5103	0.17489
1.3000	1.4898	0.17264
1.3100	1.4042	0.16283
1.3200	1.3711	0.15911
1.3300	1.3552	0.15740
1.3400	1.3124	0.15255
1.3500	1.3109	0.15251
1.3600	1.2931	0.15058
1.3700	1.2889	0.15023
1.3800	1.2490	0.14572
1.3910	1.2570	0.14682
