Energy (MeV)	LaCl\d3\n:Ce (SEB 347)	Uncertainty	Energy (MeV)	
0.10300	0.61236 9.8594	
0.10900	1.0786	16.288
0.11400	0.95743	13.500
0.12000	1.2051	15.788
0.12600	1.4854	17.974
0.13200	1.5015	16.668
0.13800	1.8341	18.526
0.14500	2.2166	20.173
0.15100	2.2606	18.313	
0.15800	2.6479	18.802	
0.16400	2.7973	17.066	
0.17200	3.1913	16.280	
0.17900	3.7813	15.509	
0.18600	4.9534	15.366	
0.19300	6.1443	12.921	
0.20100	8.9214	9.8640	
0.20900	16.398	2.4528	
0.21700	14.489	2.1613	
0.22400	14.331	2.1321	
0.23300	14.593	2.1691	
0.24100	12.397	1.8385	
0.25000	10.229	1.5154	
0.25800	8.8219	1.3064	
0.26700	8.8900	1.3154	
0.27600	8.4972	1.2554	
0.28500	9.4235	1.3916	
0.29400	7.8383	1.1562	
0.30400	8.7514	1.2906	
0.31300	8.7291	1.2872	
0.32300	11.105	1.6360	
0.33200	10.997	1.6197	
0.34300	10.336	1.5220	
0.35300	9.6274	1.4181	
0.36300	9.6226	1.4165	
0.37300	17.854	2.6277	
0.38400	14.746	2.1696	
0.39500	9.3205	1.3717	
0.40600	9.4769	1.3947	
0.41700	9.7396	1.4329	
0.42800	9.7581	1.4353	
0.43900	9.1491	1.3458	
0.45100	8.9830	1.3213	
0.46200	8.4052	1.2362	
0.47400	9.5278	1.4013	
0.48600	8.8638	1.3038	
0.49900	9.9672	1.4660	
0.51100	8.6132	1.2667	
0.52400	8.2452	1.2126	
0.53600	7.1809	1.0561	
0.54900	7.2502	1.0663	
0.56100	9.0243	1.3273	
0.57400	10.393	1.9200	
0.58700	8.8295	1.6312	
0.60100	8.2893	1.5314	
0.61400	8.3955	1.5511	
0.62800	7.5855	1.4014	
0.64200	7.5507	1.3950	
0.65600	6.4843	1.1980	
0.67000	6.7958	1.2556	
0.68400	6.6830	1.2347	
0.69800	7.3458	1.3572	
0.71300	7.0471	1.3020	
0.72800	5.9992	1.1084	
0.74300	5.5616	1.0276	
0.75700	5.7337	1.0595	
0.77300	5.0916	0.94083	
0.78800	3.9743	0.73422	
0.80400	4.7357	0.87488	
0.81900	4.1931	0.77465	
0.83500	3.8747	0.71583	
0.85100	3.8584	0.71281	
0.86700	2.9656	0.54788	
0.88300	3.7006	0.68366	
0.90000	3.2640	0.60300	
0.91600	2.9481	0.54465	
0.93300	3.4771	0.64238	
0.95000	3.1852	0.58846	
0.96700	2.9339	0.54203	
0.98400	2.8314	0.52310	
1.0020	2.6022	0.48075	
1.0190	2.6632	0.49202	
1.0370	2.4053	0.44438	
1.0540	1.8623	0.34406	
1.0720	2.0384	0.37660	
1.0900	2.0268	0.37446	
1.1090	2.0748	0.38332	
1.1270	2.0750	0.38336	
1.1460	1.9491	0.36010	
1.1640	1.9317	0.35688	
1.1830	1.8471	0.34125	
1.2020	1.8233	0.33687	
1.2210	1.7758	0.32810	
1.2400	1.6942	0.31301	
1.2600	1.6906	0.31235	
1.2790	1.6467	0.30424	
1.2990	1.6000	0.29562	
1.3190	1.5567	0.28762	
1.3390	1.5720	0.29044	
1.3590	1.3769	0.25439	
1.3800	1.4813	0.33662	
1.4000	1.3571	0.30839	
1.4210	1.3906	0.31601	
